original_title,generated_title
On completions of Hecke algebras,['Morita equivalences of Hecke algebras and K-theory of C*-algebras']
Principal fiber bundles in non-commutative geometry,['Non-commutative geometry and quantum enveloping algebras']
"K\""ahler metrics with cone singularities along a divisor of bounded
  Ricci curvature","['Ricci curvature of positive K""ahler metrics with cone singularities']"
"Relative generalized matrix weights of matrix codes for universal
  security on wire-tap networks",['Universal Security over a Network with Linear Network Coding']
Algebraic entropy in locally linearly compact vector spaces,['Algebraic entropy for locally linearly compact vector spaces over a discrete field']
Exotic Signals of Vectorlike Quarks,['Pair Production of Vectorlike Fermions at the LHC']
Improved Pulse Shape Discrimination in EJ-301 liquid scintillators,['Digital Pulse Shape Discrimination Algorithms for Nuclear Recoils']
Richer Convolutional Features for Edge Detection,['An Accurate Edge Detector using Richer Convolutional Features']
Covering many points with a small-area box,['Covering many points with a rectangle']
Non-volatile spin wave majority gate at the nanoscale,"['Micromagnetic Simulation of a 40,nm-Spin Wave Majority fork-like structure']"
A Functional Regression approach to Facial Landmark Tracking,['Real-Time Incremental Face Tracking via Functional Regression']
Sparse Geometric Representation Through Local Shape Probing,['Sparse Geometric Representation of Intrinsic Shapes via Local Probing']
"From Cooper-pair glass to unconventional superconductivity: a unified
  approach to cuprates and pnictides",['Unconventional superconductivity from an incoherent Cooper-pair glass']
"Generalized Sinkhorn iterations for regularizing inverse problems using
  optimal mass transport",['Optimal mass transport for large inverse problems using Sinkhorn iterations']
Universal relations for a spin-polarized Fermi gas in two dimensions,['Full set of universal relations for spin-polarized Fermi gases with $p$-wave interaction']
"An Information-theoretic Approach to Machine-oriented Music
  Summarization",['Relative entropy of music summarization']
"An Accelerated Composite Gradient Method for Large-scale Composite
  Objective Problems",['Accelerated Composite Gradient Method for Large-Scale Composite Objective Problems']
Gilbert damping of magnetostatic modes in a yttrium iron garnet sphere,['Magnetostatic mode spectrum of yttrium iron garnet spheres studied by broadband ferromagnetic resonance']
Evidence for a Localised Source of the Argon in the Lunar Exosphere,"[""Testing theories of the Moon's argon exosphere""]"
"Obscured Active Galactic Nuclei triggered in compact star-forming
  galaxies",['Obscured Active Galactic Nuclei in the COSMOS Field: Compact Star-forming Galaxies at High Redshift']
Tropical Computations in polymake,['Tropical geometry computations with polymake']
Glider representations of group algebra filtrations of nilpotent groups,['Glider Representations of Finite Groups II: Irreducible Gliders']
Adaptive mesh point selection for the efficient solution of scalar IVPs,['Adaptive Mesh Selection for Scalar IVPs']
"Jonckheere-Terpstra test for nonclassical error versus log-sensitivity
  relationship of quantum spin network controllers",['Concordant Trend between Error and Logarithmic Sensitivity in Robust Spin Ring Control']
"Safety Verification and Control for Collision Avoidance at Road
  Intersections",['Supervisory Safety Verification and Control Design']
The 1-eigenspace for matrices in $\operatorname{GL}_2(\mathbb{Z}_\ell)$,['The 1-eigenspace of a group of fixed points']
Direct numerical simulation of water-ethanol flows in a T-mixer,['Direct numerical simulation of two-fluid mixtures in a T-mixer']
Minimum energy control for complex networks,['Controlling complex networks with minimal control energy']
Robust Multiplication-based Tests for Reed-Muller Codes,['Robust multiplication-based tests for Reed-Muller codes']
"Ab Initio Velocity-Field Curves in Monoclinic
  \(\beta\)-Ga\textsubscript{2}O\textsubscript{3}}",['High-field transport in monoclinic (beta)-Gatextsubscript2Otextsubscript3']
Low-Rank Inducing Norms with Optimality Interpretations,['Low-Rank Inducing Norms for Rank Constrained Optimization']
"An efficient method for removing point sources from full-sky radio
  interferometric maps",['Optimal Analysis of Wide-Field Radio Interferometric Telescopes']
Finite dimensional Hopf algebras over Kac-Paljutkin algebra $H_8$,['Finite dimensional Hopf algebras over the eight dimensional Hopf algebra']
"A Note on Some Recent Results for the Bernoulli Numbers of the Second
  Kind",['A note on the Bernoulli numbers of the second kind']
"Quantum dynamical entropy, chaotic unitaries and complex Hadamard
  matrices",['Information-theoretical invariants for unitary groups']
Beta-plane turbulence above monoscale topography,['Beta-plane turbulence with random topography']
Non-Redundant Spectral Dimensionality Reduction,['Unpredictability Constraints for Spectral Dimensionality Reduction']
Noisy subspace clustering via matching pursuits,['Analytical Performance Characterization of Sparse Subspace Clustering with Matching Pursuit']
"BANDANA -- Body Area Network Device-to-device Authentication using
  Natural gAit",['BANDANA: Implicit Secure Device-to-Device Authentication from Gait Sequences']
Theory of Fundamental Bessel Functions of High Rank,"['Vorono""i summation formulae and fundamental Bessel functions']"
A one-way ANOVA test for functional data with graphical interpretation,['One-way functional ANOVA with a graphical interpretation']
Gravitationally induced phase shift on a single photon,['Measuring the gravitational phase shift of a single photon with optical fiber interferometry']
Quantum-enhanced multi-parameter estimation for unitary photonic systems,['Quantum protocols for multi-parameter estimation of photonic devices']
"Close-to-equilibrium behaviour of quadratic reaction-diffusion systems
  with detailed balance",['Strong exponential relaxation to equilibrium for quadratic reaction-diffusion systems with detailed balance']
"Generalized Coherent States, Reproducing Kernels, and Quantum Support
  Vector Machines",['Fast Computation of Nonlinear Kernels for Support Vector Machines from Canonical and Generalized Coherent States']
Exponential Self-Organization and Moore's Law: Measures and Mechanisms,['Global measures of self-organization']
On the largest multilinear singular values of higher-order tensors,['On the largest multilinear singular values of tensors']
Robust MIMO Beamforming for Cellular and Radar Coexistence,['Coexistence of MIMO Radar and Downlink MIMO Communication via Robust Beamforming']
Cosmological perturbations in transient phantom inflation scenarios,['Inflation as a phantom field']
An isoperimetric inequality for diffused surfaces,['Generalised weakly differentiable functions and diffused surfaces']
Frequency Coverage Properties of a Uniform Shrinkage Prior Distribution,['On the frequency properties of a uniform shrinkage prior distribution']
Conditional Mutual Information and Quantum Steering,['Intrinsic Steerability: Information-theoretic Quantifier for Quantum Steering']
Spatial heterogeneity of W transmutation in a fusion device,['Spatially heterogeneous tungsten transmutation rates in a realistic fusion power plant']
Twofold Symmetries of the Pure Gravity Action,['Twofold Lorentz Invariance in Gravity']
"Measuring the electron neutrino mass with improved sensitivity: the
  HOLMES experiment",['The HOLMES project']
Tracking the World State with Recurrent Entity Networks,['The Recurrent Entity Network']
"Evaluating Automatic Speech Recognition Systems in Comparison With Human
  Perception Results Using Distinctive Feature Measures",['Evaluation of Automatic Speech Recognition Systems Using Linguistic Distinctive Features']
Design of 5G Full Dimension Massive MIMO Systems,['Adaptive Electronic Beamforming in Full Dimension MIMO Systems']
"Speed of Gravitational Waves from Strongly Lensed Gravitational Waves
  and Electromagnetic Signals",['Identification of electromagnetic counterparts to strongly lensed gravitational-wave events']
Gaussian free fields at the integer quantum Hall plateau transition,['Gaussian free field description of the quantum Hall transition']
"Topography preserved microwave plasma etching for top-down layer
  engineering in MoS2 and other van der Waals materials",['Microwave plasma etching of MoS2 and other van der Waals heterostructures']
Developing a Launch Package for the PEGASUS Launcher,['Launch Package Development for the PEGASUS Launcher']
Keeping Continuous Deliveries Safe,['Continuous Delivery and Safety Tests']
Quasi-universality in mixed counterions systems,['Quasi-universality of the equation of state for counterionic plates']
"Commensurability and arithmetic equivalence for orthogonal
  hypergeometric monodromy groups",['Invariants of quadratic forms for orthogonal hypergeometric groups of degree five']
"Effects of inertia and turbulence on rheological measurements of
  neutrally-buoyant suspensions",['Torques of neutrally-buoyant suspensions in a coaxial-cylinder rheometer']
"Non-linear stability of the Kerr-Newman-de Sitter family of charged
  black holes",['Non-linear stability of slowly rotating black holes in de Sitter spacetimes']
"Modeling of cyclic creep in the finite strain range using a nested
  multiplicative split",['A new phenomenological model of cyclic creep coupled to the classical Kachanov-Rabonov damage evolution']
Defining the Pose of any 3D Rigid Object and an Associated Distance,['Efficient Pose Estimation and Averaging for Rigid Objects']
"Study of shape coexistence in the 180-190Hg isotopes by SO(6)
  representation of eigenstates",['Shape coexistence in the 180-190Hg isotopes']
"On the role of moisture in triggering out-of-plane displacement in
  paper: from the network level to the macroscopic scale",['A meso-structural model for moisture induced out-of-plane deformations in paper']
"Imposing higher-level Structure in Polyphonic Music Generation using
  Convolutional Restricted Boltzmann Machines and Constraints",['Constraint Optimisation for Polyphonic Music Generation']
Cohomological aspects on complex and symplectic manifolds,['Quantitative cohomology on complex and symplectic manifolds']
SVD-based Kalman Filter Derivative Computation,['Robust Kalman Filtering via Singular Value Decomposition']
"Sensitivity and Covariance in Stochastic Complementarity Problems with
  an Application to Natural Gas Markets",['Sensitivity metric for stochastic nonlinear complementarity problems']
A Continuum Description of Failure Waves,['Two-function theory of failure waves']
Maximizing optomechanical entanglement with optimal control,['Optimal control of optomechanical entanglement generation']
Gaussian entanglement revisited,['Separability of Gaussian quantum states via convex optimisation and positive partial transposition']
Multivariate Submodular Optimization,['Multivariate Submodular Optimization']
Asymptotically flat extensions of CMC Bartnik data,['Schwarzschild manifolds with non-negative scalar curvature near infinity']
"Learning Optimal Control of Synchronization in Networks of Coupled
  Oscillators using Genetic Programming-based Symbolic Regression",['Learning Interpretable Control of Synchronization in Coupled Dynamical Systems']
A Fast Exact Quantum Algorithm for Solitude Verification,['An Exact Quantum Algorithm for Solving Problems on Anonymous Networks']
Transient X-ray Sources in the Magellanic-type Galaxy NGC 4449,['Multi-epoch X-ray Transients in the Magellanic-type Galaxy NGC 4449']
Improper coloring of graphs with no odd clique minor,['Odd minors and subgraph coloring']
"Weak Separation, Pure Domains and Cluster Distance",['Purity for weakly separated sets and applications']
"Stability properties of a two-dimensional system involving one Caputo
  derivative and applications to the investigation of a fractional-order
  Morris-Lecar neuronal model",['Stability and Instability of a Two-Dimensional Fractional-Order Morris-Lecar Neuronal Model']
Best Friends Forever (BFF): Finding Lasting Dense Subgraphs,['Best Friends Forever (BFF): Finding the Most Connected Nodes in Graph Snapshots']
Super-Walk Formulae for Even and Odd Laplacians in Finite Graphs,['Counting walks in a graph']
"Fundamental polytopes of metric trees via parallel connections of
  matroids",['Face numbers and Lipschitz polytopes of tree-like metrics']
Asymptotic Optimality in Stochastic Optimization,['Local Minimax Theory for Stochastic Optimization']
"Terminal Singularities, Milnor Numbers, and Matter in F-theory",['$mathbb Q$-Factorial Terminal Singularities in F-Theory on Elliptically Fibered Calabi-Yau Threefolds']
"Colourings with Bounded Monochromatic Components in Graphs of Given
  Circumference",['Monochromatic Colourings of Graphs with Circumference at Most $k$']
Causal Learning via Manifold Regularization,['Causal Structure Estimation as a Machine Learning Task']
Determination of Baum-Bott residues of higher codimensional foliations,['Baum-Bott residues for singular foliations']
"Systematic trends in total-mass profiles from dynamical models of
  early-type galaxies",['The ATLAS$mathrm3D$ survey: trends in the total mass profiles and dark matter fractions of early-type galaxies']
Einstein four-manifolds of pinched sectional curvature,['Pinched sectional curvature Einstein manifolds']
"Long-time stability and accuracy of the ensemble Kalman-Bucy filter for
  fully observed processes and small measurement noise",['Theoretical Analysis of an Ensemble Kalman-Bucy Filter']
Algorithmic aspects of units in group rings,['Torsion subgroups in the unit group of integral group rings of finite groups']
Hankel-Norm Approximation of Large-Scale Descriptor Systems,['Generalized Hankel-norm approximation for linear time-invariant continuous-time descriptor systems']
Practical LTE and Wi-Fi Coexistence Techniques beyond LBT,['Coexistence of Unlicensed Band LTE and Wi-Fi via Relaying']
"Hybrid Transactional Replication: State-Machine and Deferred-Update
  Replication Combined",['Hybrid Transactional Replication']
On Dantzig figures from graded lexicographic orders,['Dantzig figures from graded lexicographic orders']
"Magnetoplasmon spectrum for asymmetric off-plane structure of
  dissipative 2D system",['Dramatic change of magnetoplasmon spectrum due to arbitrary dissipation']
"High Performance Depletion/Enhancement-Mode beta-Ga2O3 on Insulator
  (GOOI) Field-effect Transistors with Record Drain Currents of 600/450 mA/mm",['Record-High Drain Currents of 600/450 mA/mm GOOI Field Effect Transistors']
A New Twisting Somersault - 513XD,['513XD: A New Twisting and Somersaulting Diver']
Sequential Monte Carlo with transformations,['Sequential Bayesian Model Comparison with Reversible Jump Monte Carlo']
Automatic Generation of Grounded Visual Questions,['Automatic Generation of Grounded Visual Questions with Diverse Types for a Single Image']
"Realtime processing of LOFAR data for the detection of nano-second
  pulses from the Moon",['Online Detection of Ultra-High Energy Neutrinos with LOFAR']
"On measuring the acoustic state changes in lipid membranes using
  fluorescent probes",['Fluctuations of the solvation shell of acoustic lipid membranes']
"Whole-brain diffusional variance decomposition (DIVIDE): Demonstration
  of technical feasibility at clinical MRI systems",['Technical Feasibility of Whole-Brain Diffusional Variance Decomposition based on q-Space Trajectory Encoding at Clinical MRI Systems']
Sorting via chip-firing,['Sorting via labeled chip-firing']
Quadrality for Supersymmetric Matrix Models,['Quadrality for N=1 Supersymmetric Matrix Models']
"Stability of a $d$-dimensional thin-shell wormhole surrounded by
  quintessence",['Stability of Higher Dimensional Quintessence Thin-Shell Wormholes']
"Stochastic Runtime Analysis of a Cross Entropy Algorithm for Traveling
  Salesman Problems",['Stochastic Runtime of a Cross-Entropy Algorithm for Traveling Salesman Problems']
Copula Modeling for Data with Ties,['Copula-Based Estimation with Interval Censored Pseudo-Observations']
"On Stochastic Stability of a Class of non-Markovian Processes and
  Applications in Quantization",['Stochastic stability of non-Markovian noise processes with applications in feedback quantization and control']
Soliton dual comb in crystalline microresonators,['Compact dual-comb source based on monolithic optical crystalline MgF$_2$ multi-resonator stack']
"Dielectric Haloscopes to Search for Axion Dark Matter: Theoretical
  Foundations",['Axion-modified Maxwell dielectric haloscope']
"Performance of group testing algorithms with near-constant
  tests-per-item",['Sparse Nonadaptive Group Testing']
Relative entropy of steering: On its definition and properties,['Relative entropy of steering revisited']
Paschen's law studies in cold gases,"['Break-through voltage over small gaps in nitrogen, neon, argon and xenon gases']"
"Nash Equilibrium Seeking with Non-doubly Stochastic Communication Weight
  Matrix",['Distributed Nash Equilibrium Seeking for Networked Games and Graphical Games']
The Essential Histogram,['The Essential Histogram']
"Semilinear elliptic equations with Dirichlet operator and singular
  nonlinearities",['Quasi-uniform convergence for elliptic equations with Dirichlet operator and positive nontrivial measures']
Symbolic computation in hyperbolic programming,['Symbolic computation for hyperbolic programming']
"Constructing solutions for a kinetic model of angiogenesis in annular
  domains",['Angiogenesis in an annular region with nonlocal boundary conditions']
"Relativistic Shear Flow Between Electron-Ion and Electron-Positron
  Plasmas and Astrophysical Applications",['Anisotropic Particle Acceleration in Relativistic Shear Layers']
Regular dependence of the Peierls barriers on perturbations,['Regularity of the Peierls barrier and breakup of invariant circles']
"Quasi-monoenergetic electron beams from laser plasma acceleration using
  nitrogen gas jet",['Experimental Investigation on Laser Plasma Acceleration of Electrons in Nitrogen Gas Jet']
"Parallel numerical modeling of hybrid-dimensional compositional
  non-isothermal Darcy flows in fractured porous media",['Hybrid-dimensional discrete model for non-isothermal compositional Darcy flows and complex networks of fractures']
Interlacing Ehrhart Polynomials of Reflexive Polytopes,['Interlacing Ehrhart polynomials']
Planar posets have dimension at most linear in their height,['Planar posets with dimension at most $192h +96$']
"Construction and implementation of asymptotic expansions for
  Laguerre-type orthogonal polynomials",['Explicit higher-order asymptotic expansions of Laguerre and Laguerre-type polynomials']
"Relativistic (or $2$-prover $1$-round) zero-knowledge protocol for
  $\mathsf{NP}$ secure against quantum adversaries",['Relativistic quantum knowledge guarantees the zero-knowledge construction']
"Stationary solutions of discrete and continuous Petri nets with
  priorities",['Discrete Dynamics of Petri Nets with Priority-Based Routing']
Holomorphic Anomaly and Quantum Mechanics,['Refined Holomorphic Anomaly Equations and WKB Expansion of One-Dimensional Oscillators']
"Tradeoffs between microbial growth phases lead to frequency-dependent
  and non-transitive selection",['Tradeoffs between frequency-dependent and non-transitive selection in microbial growth']
"The Cycle Structure of LFSR with Arbitrary Characteristic Polynomial
  over Finite Fields",['Cycle Structure of Linear Feedback Shift Register']
Improved energy methods for nonlocal diffusion problems,['An energy inequality for nonlocal diffusion operators']
"Existence analysis for incompressible fluid model of electrically
  charged chemically reacting and heat conducting mixtures",['Global existence analysis for a multicomponent chemically reacting fluid with barycentric velocity']
"Number counts, confusion, mapping issues and sky coverage analysis for
  radio continuum surveys through EMU Early Science, EMU-ASKAP, and WODAN
  especially for cosmology science goals",['Challenges in Observing Radio Continuum Sources']
"Complete stickiness of nonlocal minimal surfaces for small values of the
  fractional parameter",['On the sign change of the fractional mean curvature']
Generalization of a Ramanujan identity,"[""Ramanujan's notebooks and Berndt's identity""]"
"Stochastic Geometry Analysis of Normalized SNR-Based Scheduling in
  Downlink Cellular Networks",['Coverage Probability and Average Data Rate of Normalized SNR-Based Scheduling in Cellular Networks']
"Power Control and Scheduling under Hard Deadline Constraints for On-Off
  Fading Channels",['Sum-Rate Maximizing Power Allocation for Real-Time and Non-Real-Time Cellular Systems']
"Non-monotonic spatial distribution of the interstellar dust in
  astrospheres: finite gyroradius effect",['Cirrus-like filaments of interstellar dust around stars']
"Short-Term Orbital Forcing: A Quasi-Review and a Reappraisal of
  Realistic Boundary Conditions for Climate Modeling",['Short-Term Orbital Forcing: An Updated Review and a Practical Tool']
"Modular forms constructed from moduli of elliptic curves, with
  applications to explicit models of modular curves",['Modular forms and Eisenstein series']
Fake proofs for identities involving products of Eisenstein series,['Fake proofs for identities related to Eisenstein series on $Gamma(N)$']
"Properties of Unshunted and Resistively Shunted Nb/AlOx-Al/Nb Josephson
  Junctions With Critical Current Densities from 0.1 mA/{\mu}m^2 to 1
  mA/{\mu}m^2",['Kinetic inductance of high-critical current densities Nb/AlOx-Al/Nb Josephson junctions']
Steerable CNNs,['Steerable CNNs']
"Turbulence intensity and the friction factor for smooth- and rough-wall
  pipe flow",['Comparison of turbulence intensity profiles for smooth- and rough-wall pipe flow in the Princeton Superpipe']
"Theory-guided Data Science: A New Paradigm for Scientific Discovery from
  Data",['Theory-guided Data Science: A Taxonomy of Research Topics']
Search for high-energy neutrinos from bright GRBs with ANTARES,['Search for neutrinos from bright GRBs with the ANTARES neutrino telescope']
"Novel bonding patterns and optoelectronic properties of the
  two-dimensional Si$_x$C$_y$ monolayers",['Novel Two-Dimensional SiC Sheets: From Monolayer to Silagraphyne']
Adaptive Block Coordinate DIRECT algorithm,['Block Coordinate DIRECT Algorithm for Bound Constrained Optimization']
"Multivariate mixture model for myocardium segmentation combining
  multi-source images",['Multivariate Mixture Model with Maximum of Log-likelihood for Simultaneous Segmentation of Myocardium']
"Codes in the Space of Multisets---Coding for Permutation Channels with
  Impairments",['Optimal Error-Correcting Codes for DNA Channels with Random Permutations']
Degenerate billiards in celestial mechanics,['Shadowing trajectories of degenerate billiards']
"A partially occulting MACHO-microlensing event in the Twin Quasar
  Q0957+561",['Microlensing by a primordial gas cloud in the Twin Quasar Q0957+561']
Efficient quantum walk on the grid with multiple marked elements,['Quantum walk on the grid with multiple marked elements']
Off-site trimer superfluid on a one-dimensional optical lattice,['Off-site trimer superfluid phase in the softcore Bose-Hubbard model']
What Makes Audio Event Detection Harder than Classification?,['Audio Event Detection is Easier than Classification']
"Dispersion-optimized quadrature rules for isogeometric analysis:
  modified inner products, their dispersion properties, and optimally blended
  schemes",['Optimally blended quadrature rules for isogeometric analysis']
Conditional nonlinear expectations,"[""On tower properties and Fubini's theorem for sublinear increasing functionals""]"
"Sequence-to-point learning with neural networks for nonintrusive load
  monitoring",['Sequence-to-Point Learning for Nonintrusive Load Monitoring']
"On perfect clustering of high dimension, low sample size data",['Clustering Algorithms with MADD for High Dimensional Data']
On the occurrence of large positive Hecke eigenvalues for GL(2),['Upper Dirichlet density of primes at which the associated Hecke eigenvalues are larger than a specified constant']
"Discrete minimisers are close to continuum minimisers for the
  interaction energy",['Discrete Minimisation of the Interaction Energy']
Motifs in Temporal Networks,['Counting Temporal Network Motifs']
Ghost classes in $\mathbb{Q}$-rank two orthogonal Shimura varieties,"['Ghost classes for Shimura varieties associated to algebraic groups of orthogonal similitudes of signature (2, n)']"
"Selection originating from protein stability/foldability: Relationships
  between protein folding free energy, sequence ensemble, and fitness",['Equilibrium Ensemble and Density Function of Proteins with Nonsynonymous Mutation']
Permuted and Augmented Stick-Breaking Bayesian Multinomial Regression,['Bayesian Multinomial Regression with Permuted and Augmented Sticks']
"GPU Accelerated Explicit Time Integration Methods for
  Electro-Quasistatic Fields",['An Explicit Time-Integration Scheme for Solving Electro-Quasistatic Field Problems']
A generative angular model of protein structure evolution,['A Generic Model of Protein Structure and Sequence Based on Angular Diffusion']
"High order local absorbing boundary conditions for acoustic waves in
  terms of farfield expansions",['High order local absorbing boundary conditions for time-harmonic acoustic waves']
Loss of brain inter-frequency hubs in Alzheimer's disease,"[""Multi-Frequency Analysis of Alzheimer's Disease in a Multi-Layer Network""]"
Chaotic behavior of the $P$-adic Potts-Bethe mapping,['Chaotic behavior of the Potts-Bethe mapping']
"Nilpotent Symmetries and Curci-Ferrari Type Restrictions in 2D
  Non-Abelian Gauge Theory: Superfield Approach",['Nilpotent symmetries and Curci-Ferrari type restrictions of the self-interacting 2D non-Abelian 1-form gauge theory within the geometrical superfield approach']
"Proceedings 29th and 30th Workshops on (Constraint) Logic Programming
  and 24th International Workshop on Functional and (Constraint) Logic
  Programming",['Proceedings International Workshops on (Constraint) Logic Programming']
Generalized Play Hysteresis Operators in Limits of Fast-Slow Systems,['Planar Fast-Slow Systems and Hysteresis Operators']
"Proceedings Third International Workshop on Rewriting Techniques for
  Program Transformations and Evaluation",['Proceedings Third International Workshop on Rewriting Techniques for Program Transformations and Evaluation']
Proceedings 13th International Conference on Quantum Physics and Logic,['Proceedings 13th International Conference on Quantum Physics and Logic']
Deep learning for plasma tomography using the bolometer system at JET,['Deep learning for plasma tomography']
Positivity of the height jump divisor,['Degeneration of semipositive smooth hermitian line bundles on complex manifolds']
Counting the number of trigonal curves of genus 5 over finite fields,['Counting trigonal curves of genus 5']
"Towards multiple kernel principal component analysis for integrative
  analysis of tumor samples",['Unsupervised data integration for cancer subtype identification']
Clustered Hyperbolic Categories,['Clustered hyperbolic categories and Weyl cluster algebras']
Systematic Quantum Mechanical Region Determination in QM/MM Simulation,['Quantitative Determination of Large Quantum Regions in Enzymes: Fukui Shift Analysis and Charge Shift Analysis']
Stability analysis for cylindrical Couette flow of compressible fluids,['A new analysis of the most basic Couette flow']
"Deep-HiTS: Rotation Invariant Convolutional Neural Network for Transient
  Detection",['Deep-HiTS: Deep Convolutional Neural Networks for Transient Detection']
A Multiscale Modeling of Triple-Heterojunction Tunneling FETs,['Multiscale Transport Simulation of Triple-Heterojunction Tunneling FETs']
Intrinsic and Apparent Singularities in Flat Differential Systems,['Intrinsic and apparent singularities of locally flat systems']
"Peculiar double-periodic pulsation in RR Lyrae stars of the OGLE
  collection. II. Short-period stars with dominant radial fundamental mode",['A New Group of Double-Periodic RR Lyrae Stars in the OGLE Galactic Bulge Photometry']
An explicit theory of heights for hyperelliptic Jacobians of genus three,['Hyperelliptic Jacobians of genus 3 and their heights']
"Charging and Discharging of Plug-In Electric Vehicles (PEVs) in
  Vehicle-to-Grid (V2G) Systems: A Cyber Insurance-Based Model",['Online Cyber Insurance for Plug-In Electric Vehicles']
"A Conforming Primal-Dual Mixed Formulation for the 2D Multiscale Porous
  Media Flow Problem",['A primal-dual mixed finite element method for multiscale porous media flows with multiple geometric subregions']
Tensor-on-tensor regression,['Tensor Product Multiway Regression']
"Galactic Chemical Evolution: the Impact of the 13C-pocket Structure on
  the s-process Distribution",['Galactic Chemical Evolution of s-Process Abundances']
"Inverting the coupling of the signed Gausssian free field with a loop
  soup",['Inverting the coupling between a signed Gaussian free field and a random walk loop soup']
Graph Product Multilayer Networks: Spectral Properties and Applications,['Graph Product Multilayer Networks']
Examples of renormalized SDEs,['Convergence of rough paths for stochastic processes']
GPU Multisplit: an extended study of a parallel algorithm,['A Parallel Model and Multiple Implementations for Multisplit with a Sort']
"Magnetic switching in granular FePt layers promoted by near-field laser
  enhancement",['Laser-Assisted Magnetization Switching of FePt Nanoparticles in Carbon']
"Estimates for Invariant Probability Measures of Degenerate SPDEs with
  Singular and Path-Dependent Drifts",['Invariant probability measures for SPDEs with path-dependent drift']
"A continuous Riemann-Hilbert problem for colliding plane gravitational
  waves",['A new solution technique for the characteristic initial value problem of colliding plane gravitational waves']
A Hybrid Energy Sharing Framework for Green Cellular Networks,['Hybrid Energy Sharing for Cellular Networks with Smart Grid']
Wave propagation characteristics of Parareal,['Wave propagation characteristics of the Parareal parallel-in-time integration method']
"Existence and stability of standing waves for nonlinear fractional
  Schr\""odinger equation with logarithmic nonlinearity","['Stable global solutions for the fractional logarithmic Schr""odinger equation']"
Spin phonon interactions and magneto-thermal transport behavior in p-Si,['Spin-Phonon Interaction in p-Doped Si at Room Temperature']
Chebyshev Reduced Basis Function applied to Option Valuation,['Frequent pricing of financial derivatives with applications to model calibration']
"Note on the spectrum of classical and uniform exponents of Diophantine
  approximation",['On the Spectrum of Exponents of Diophantine Approximation in Dimension $ngeq 3$']
"Disease Progression Modeling and Prediction through Random Effect
  Gaussian Processes and Time Transformation","[""Gaussian Process Modeling of Alzheimer's Disease Progression from Individual Observations""]"
"A Multiscale-Analysis of Stochastic Bistable Reaction-Diffusion
  Equations",['Multiscale analysis of bistable reaction-diffusion equations with additive noise']
Higher order multipoles in metamaterial homogenization,['Higher order multipoles in metamaterial homogenization']
On the number of points of nilpotent quiver varieties over finite fields,['The point count of Lusztig nilpotent varieties']
"The inverse electromagnetic scattering problem by a penetrable cylinder
  at oblique incidence",['Inverse scattering of obliquely incident electromagnetic waves by a penetrable homogeneous cylinder']
On a unified framework for linear nuisance parameters,['A Unified Framework for Linear Noise Estimation Problems']
A Graph Isomorphism Condition and Equivalence of Reaction Systems,['Skeletons and global dynamics of reaction systems']
"Optimal discrepancy rate of point sets in Besov spaces with negative
  smoothness",['On the local discrepancy of symmetrized Hammersley type points']
"Unitary Reconstruction of Secret for Stabilizer Based Quantum Secret
  Sharing",['Unitary quantum secret sharing based on stabilizer codes']
"Experimental Investigation of Stub Resonators Built in Plasmonic Slot
  Waveguides",['Stub Resonators Embedded in Plasmonic Slot Waveguides']
"Stable broken $H^1$ and $\bf H(\mathrm{div})$ polynomial extensions for
  polynomial-degree-robust potential and flux reconstruction in three space
  dimensions",['Stability of piecewise polynomial data with applications to polynomial-degree-robust reconstruction']
Crowdsourcing Ground Truth for Medical Relation Extraction,['Crowdsourcing Ground Truth for Medical Relations']
Toward Quantum Combinatorial Games,['A Quantum Variation of Combinatorial Games']
"Charmonium spectrum and diffractive production in a light-front
  Hamiltonian approach",['Charmonium production in diffractive deep inelastic scattering and ultra-peripheral heavy-ion collisions']
"Son of Zorn's Lemma: Targeted Style Transfer Using Instance-aware
  Semantic Segmentation",['Simultaneous Segmentation and Stylization of Objects for Targeted Style Transfer']
"Formation of Local Resonance Band Gaps in Finite Acoustic Metamaterials:
  A Closed-form Transfer Function Model",['Transfer Function Modeling of Band Gaps in Finite Acoustic Metamaterials']
"Methods for Mapping Forest Disturbance and Degradation from Optical
  Earth Observation Data: a Review",['Remote Sensing Based Monitoring of Forest Disturbance and Forest Degradation: A Review']
"A reduced fast construction of polynomial lattice point sets with low
  weighted star discrepancy",['Reducing the Construction Cost of Polynomial Lattice Point Sets']
A Convenient Category for Higher-Order Probability Theory,['Quasi-Borel Spaces for Higher-Order Probability']
"Turbulence velocity profiling for high sensitivity and
  vertical-resolution atmospheric characterization with Stereo-SCIDAR",['Atmospheric turbulence velocity identification with Stereo-SCIDAR']
"Tangle-tree duality: in graphs, matroids and beyond",['Duality Theorems for Width in Graphs and Matroids']
"Phononic heat transport in nanomechanical structures: steady-state and
  pumping",['Phonon driven heat transport in nanomechanical structures']
"Strong Functional Representation Lemma and Applications to Coding
  Theorems",['Strong Functional Representation Lemma for One-Shot Channel Simulation']
"Quantum Stabilizer Codes Can Realize Access Structures Impossible by
  Classical Secret Sharing",['Quantum Stabilizer Codes and Access Structure Impossible by Classical Secret Sharing']
Distinguishing Antonyms and Synonyms in a Pattern-based Neural Network,['AntSynNET: Lexico-syntactic Pattern Learning for Antionymous Synonym Distinguishing']
