original_titles,generated_titles
The large sum graph related to comultiplication modules,['The large sum graph of a comultiplication module']
Atiyah classes of strongly homotopy Lie pairs,['Atiyah classes of strongly homotopy Lie pairs']
"Predictive Entropy Search for Multi-objective Bayesian Optimization with
  Constraints",['Predictive Entropy Search for Multi-objective Bayesian Optimization with Constraints']
"Forced canonical thermalization in a hadronic transport approach at high
  density",['Local Forced Canonical Thermalization in High-Density Hadronic Transport Approaches']
"Well-Posedness and Output Regulation for Implicit Time-Varying Evolution
  Variational Inequalities",['Output Regulation in Evolution Variational Inequalities']
Linear polychromatic colorings of hypercube faces,['A lower bound on the polychromatic coloring of $ell$-dimensional faces']
cf4ocl: a C framework for OpenCL,['cf4ocl: A C library for rapid development of OpenCL programs']
Local Pauli stabilizers of symmetric hypergraph states,['Permutationally Invariant Hypergraph States']
Positive Scalar Curvature and Poincare Duality for Proper Actions,['Equivariant index theory and K-theory for almost-connected Lie groups']
"Potential landscape and flux field theory for turbulence and
  nonequilibrium fluid systems",['Potential landscapes and flux field theories for nonequilibrium turbulence']
"Joint Alignment of Multiple Point Sets with Batch and Incremental
  Expectation-Maximization",['Batch and Incremental EM Alignment for Multiple Point Set Registration']
"On a singular Liouville-type equation and the Alexandrov isoperimetric
  inequality","[""Bandle's inequality for singular Liouville-type equations and the Alexandrov isoperimetric inequality""]"
"Superconducting NbTiN Thin Films with Highly Uniform Properties over a
  100 mm diameter Wafer",['Effect of Substrate Shuttling on the Superconducting Uniformity of NbTiN Thin Films']
"Spatial nonlinearity in anisotropic metamaterial plasmonic slot
  waveguides",['Spatial nonlinearity in plasmonic slot waveguides with an anisotropic metamaterial core']
Index Characterization for Free Boundary Minimal Surfaces,['The Morse index of free boundary minimal submanifolds']
Remarks on QFT in the Coordinate Space,"[""The Coordinate Space of the Poincar'e Group for a Free Massive Scalar Field""]"
"Accelerating Nuclear Configuration Interaction Calculations through a
  Preconditioned Block Iterative Eigensolver",['Accelerating Large-Scale Nuclear Configuration Interaction Calculations on Parallel Computers']
Brane Brick Models in the Mirror,['Brane Brick Models and Mirror Symmetry']
Fundamental limitations for antenna radiation efficiency,['New Absolute Limits on the Radiation Efficiency of Arbitrary Dipole Antennas']
"Effect of stretching-induced changes in hydrodynamic screening on
  coil-stretch hysteresis of unentangled polymer solutions",['Chain stretching enhances intermolecular screening in elastic polymer solutions']
Probing nuclear bubble structure via neutron star asteroseismology,['Torsional Oscillations in the Bubble Phase Inside a Neutron Star']
The Belle II experiment: fundamental physics at the flavor frontier,['The Belle II Flavor Frontier Experiment']
"401 and beyond: improved bounds and algorithms for the Ramsey algebra
  search",['An improved algorithm to search for Ramsey algebras over Z/pZ*']
"A fractional elliptic problem in $\mathbb{R}^n$ with critical growth and
  convex nonlinearities",['Positive solutions for the nonlinear fractional Sobolev equation with critical fractional Sobolev exponent']
Polyp Detection and Segmentation from Video Capsule Endoscopy: A Review,['Review of Automatic Polyp Detection Algorithms for Video Capsule Endoscopy Imagery']
Energy-constrained private and quantum capacities of quantum channels,['Energy-Constrained Quantum and Private Capacities of Quantum Channels']
"Evaluation of bipartite entanglement between two optical multi-mode
  systems using mode translation symmetry",['Experimental evaluation of bipartite entanglement in optical multimode systems']
"The geometry properties of parity and time reversal operators in two
  dimensional spaces",['Geometrical Properties of Parity and Time Reversal Operators in Two Dimensional Spaces']
"Uniform Regularity and Vanishing Viscosity limit for the
  chemotaxis-Navier-Stokes system in a 3D bounded domain",['Incompressible chemotaxis-Navier-Stokes system in bounded domains']
Survey of Consistent Software-Defined Network Updates,['A Survey of Fast and Consistent Network Updates']
IT formulae for gamma target: mutual information and relative entropy,['Derivative of the input-output mutual information of a non-linear channel with gamma inputs']
A superhedging approach to stochastic integration,['On the quadratic variation of minimal superhedging prices']
"Analysis of Artificial Dissipation of Explicit and Implicit
  Time-Integration Methods",['On the influence of artificial dissipation and modal filtering on the stability of hyperbolic conservation laws']
HashTag Erasure Codes: From Theory to Practice,"['AshTag Erasure Codes (HTECs): Optimizing Storage, Reliability, I/O Operations, and Repair-Bandwidth for Distributed Storage']"
Memory Remains: Understanding Collective Memory in the Digital Age,['Attention flow cascading in Wikipedia aircraft crashes']
"The weak coupling limit for the random Schr\""odinger equation: The
  average wave function","['Diffusive behavior for the Schr""odinger equation with weakly random potentials']"
"The extended Bloch Representation of Entanglement and Measurement in
  Quantum Mechanics",['Extended Bloch Representation of Quantum Entanglement']
"Contiguity and non-reconstruction results for planted partition models:
  the dense case","['On the contiguity of stochastic block models and of Erd""os-R\'enyi graph with same average degree']"
Intermittent gravity-driven flow of grains through narrow pipes,['Dynamics of density waves in size-constrained granular flows']
"Placement Delivery Array Design through Strong Edge Coloring of
  Bipartite Graphs",['Interpretation of Placement Delivery Array from Strong Edge Coloring of Bipartite Graph']
"Efficient computation of longest single-arm-gapped palindromes in a
  string",['Computation of Single-Arm-Gapped Palindromes with Longest Arms in a String']
GEMPIC: Geometric ElectroMagnetic Particle-In-Cell Methods,['Semi-Discrete Hamiltonian Structures and Finite Element Methods for Particle-in-Cell Analysis']
Rough path metrics on a Besov--Nikolskii type scale,['Controlled differential equations on the space of rough paths revisited']
Topological field theory and computing with instantons,"['Topological Sigma Models, Instantons and Digital Memcomputing Machines']"
"Formation, dissolution and properties of surface nanobubbles",['Molecular Dynamics Simulations of Surface Nanobubbles']
"Search for Two-Neutrino Double Electron Capture of $^{124}$Xe with
  XENON100",['Search for two-neutrino double electron capture of $124$Xe']
"Using phase II data for the analysis of phase III studies: an
  application in rare diseases",['Bayesian meta-analysis informs phase III drug development for orphan diseases']
"Efficient inference for genetic association studies with multiple
  outcomes",['Sparse Multivariate Joint Analysis of Molecular Outcomes and Genetic Association Data']
"Complexity of Universality and Related Problems for Partially Ordered
  NFAs",['Complexity of Partially Ordered Nondeterminsitic Finite Automata']
"The edge Folkman number $F_e(3, 3; 4)$ is greater than 19","['Edge Folkman numbers F_e(3, 3; 4) and F_v(2, 3, 3; 4)']"
The Elliptic Hall algebra and the deformed Khovanov Heisenberg category,['Trace algebras of quantum Heisenberg categories and positive affine Hecke algebras']
Open Sets of Exponentially Mixing Anosov Flows,['Exponential mixing of Anosov flows']
"A Survey and Taxonomy of Self-Aware and Self-Adaptive Cloud Autoscaling
  Systems",['Self-Aware and Self-Adaptive Cloud Autoscaling System: A Survey']
"An Evaluation of Polarisability Tensors of Arbitrarily Shaped Highly
  Conducting Bodies",['Full-wave evaluation of polarisability tensors on arbitrary shape highly conducting bodies']
Graph Aggregation,['On the Preserving Properties of Graph Aggregation']
"Convection in axially symmetric accretion discs with microscopic
  transport coefficients",['Vertical structure of stationary thin accretion discs']
"A two-way model for nonlinear acoustic waves in a non-uniform lattice of
  Helmholtz resonators",['Energy balance and propagation of high amplitude acoustic pulses in a 1D waveguide connected to a lattice of Helmholtz resonators']
Information Theoretic Structure Learning with Confidence,['Nonparametric Structure Discovery via Weighted Ensemble Divergence Estimators']
"Modeling the lowest-cost splitting of a herd of cows by optimizing a
  cost function",['Modeling the Dynamics of Group Splitting']
"A Survey of Multi-Objective Optimization in Wireless Sensor Networks:
  Metrics, Algorithms and Open Problems",['A Survey of Multi-Objective Optimization in Wireless Sensor Networks']
"Asymptotic shape and the speed of propagation of continuous-time
  continuous-space birth processes",['Shape theorem for continuous-time continuous-space stochastic growth models']
A Liouville Theorem for the Higher Order Fractional Laplacian,['Symmetry and Liouville theorem for higher-order fractional Laplacian']
"On the closed embedding of the product of theta divisors into product of
  Jacobians and Chow groups",['On the injectivity of the push-forward homomorphism at the level of Chow groups']
Toward an Algebraic Theory of Systems,['Functional system algebras and composition-order invariance']
"Structured Dropout for Weak Label and Multi-Instance Learning and Its
  Application to Score-Informed Source Separation",['Structured Dropout and Class Activity Penalties for Weak Label Training']
On Memory Footprints of Partitioned Sparse Matrices,['Memory footprints of partitioned matrices']
"Compressive Computed Tomography Reconstruction through Denoising
  Approximate Message Passing",['Denoising Generalized Approximate Message Passing CT for Real-World X-ray Computed Tomography']
Maximal Repetition and Zero Entropy Rate,['Maximal Repetition of Stochastically Generated Strings']
Existence of Hukuhara differentiability of fuzzy-valued functions,['Hukuhara Differentiability of Fuzzy-valued Functions']
Non-simple SLE curves are not determined by their range,['On the range of a chordal SLE$_kappa$ curve and related results']
Dictionary learning of sound speed profiles,['Dictionary Learning of Sound Speed Profiles']
Itinerant routing in elastic optical networks,['Itinerant Routing in Elastic Optical Networks']
Least Square Estimation-Based SDP Cuts for SOCP Relaxation of AC OPF,['Affine Inequalities for Second-order Conic Programming Relaxation of Alternating Current Optimal Power Flow']
Parameterized and Approximation Complexity of Partial VC Dimension,['Partial VC Dimension and its Applications']
A simple centrality index for scientific social recognition,['A centrality index for scientific social recognition']
Enhanced visible light absorption in ZnO/GaN heterostructured nanofilms,['Structural Stability and Electronic Properties of (1-100) and (11-20) ZnO/GaN Heterostructured Nanofilms']
Abundance of wild historic behavior,['Wild historic points and Caratheodory measures']
Recent Heavy Flavor Results Utilizing the FVTX in PHENIX at RHIC,['Measurements of Bottom and Charmonia Production with PHENIX Silicon Vertex Detectors']
On two-quotient strong starters for $\mathbb{F}_q$,['Two-Quotient Strong Starters for Finite Additive Abelian Groups of Odd Order']
On the computational complexity of detecting possibilistic locality,['Quantum Nonlocality and Possibilistic Local Realism']
Idology and Its Applications in Public Security and Network Security,"['Idology: A Systematic Study of Identifications, Counterfeiting, and Forging in Public Security and Network Security']"
"Geometrical complexity of the antidots unit cell effect on the spin wave
  excitations spectra","['Effect of the structure of antidot on the spin wave spectra of simple square, bi-component square and wave-like antidot lattices']"
Universality of single qudit gates,['Universality of Quantum One-Qudit Gates']
A Distributed Observer for a Time-Invariant Linear System,['Simultaneous Observer Estimation of a Linear System']
A Quantum Implementation Model for Artificial Neural Networks,['A Quantum Implementation Model for Artificial Neural Networks Using Widrow-Hoff Learning Formula']
"Gluon fusion and $b\bar{b}$ corrections to $H W^+ W^- / H Z Z$
  production in the POWHEG-BOX",['Next-to-leading order QCD corrections to $H W+ W-$ production in association with a weak boson pair at hadron colliders']
"Reflection and Transmission Coefficients of the symmetric barrier-type
  shifted Deng-Fan potential","['Reflection and transmission coefficients of one-dimensional time-independent Schr""odinger equation with a barrier-type shifted Deng-Fan potential']"
"Interference Reduction in Music Recordings Combining Kernel Additive
  Modelling and Non-Negative Matrix Factorization",['Non-Stationary Sound Interference Reduction Using Semi-Supervised NMF and KAM']
A note on discrete Borg-type theorems,['Periodic potentials and spectral gaps of discrete Schrodinger operators']
Delayed Random Relays,['Relaying a signal with multiple random walks in one dimension']
5G Converged Cell-less Communications in Smart Cities,['5G Converged Cell-less Communication Networks for Smart Cities']
River-bed armoring as a granular segregation phenomenon,['Armoring a laboratory river bed by granular segregation']
Kadison's Pythagorean Theorem and essential codimension,"[""Kadison's Pythagorean Theorem, Essential Codimension, and Index""]"
"Particle-Filter-Enabled Real-Time Sensor Fault Detection Without a Model
  of Faults",['Fault Detection without Model Information using Particle Filter State Estimation']
"On the joint distribution of first-passage time and first-passage area
  of drifted Brownian motion",['On the joint distribution of the first-passage time and the first-passage area swept out by a drifted Brownian motion']
"A probabilistic network for the diagnosis of acute cardiopulmonary
  diseases",['A Probabilistic Network for the Diagnosis of Acute Cardiopulmonary Diseases']
Comparison of Channels: Criteria for Domination by a Symmetric Channel,['Domination by $q$-ary symmetric channels']
Off-shell massive N=1 supermultiplets in three dimensions,['Massive Higher Spin Supermultiplets in Three Dimensions']
Volterra-type Ornstein-Uhlenbeck processes in space and time,"[""Ornstein-Uhlenbeck processes associated with L'evy-driven Volterra equations""]"
"SuperMann: a superlinearly convergent algorithm for finding fixed points
  of nonexpansive operators",['SuperMann: A Newtonian Algorithm for Finding Fixed Points of Nonexpansive Operators']
The fundamental diagram of urbanization,['The fundamental diagram of urbanization']
Image-embodied Knowledge Representation Learning,['Image-embodied Knowledge Representation Learning']
A Stable FDTD Method with Embedded Reduced-Order Models,['Embedding reduced models into main Finite Difference Time Domains up to the Courant-Friedrichs-Lewy limit']
"Orbifold Reduction and 2d (0,2) Gauge Theories","['Orbifold Reduction and (2,2) Brane Theories']"
"Scale-free and quantitative unique continuation for infinite dimensional
  spectral subspaces of Schr\""odinger operators","['Quantitative Unique Continuation Principle for Infinite Dimensional Spectral Subspaces of Schr""odinger Operators']"
Balancing Speed and Coverage by Sequential Seeding in Complex Networks,['Sequential Seeding For Information Spreading In Complex Networks']
"Elasticity, Flexibility and Ideal Strength of Borophenes",['Flexible Two-Dimensional Boron: A First-Principles Study']
"Geometrical and Kinematic Parameters of the Jet of the Blazar S5 0716+71
  in a Helical-Jet Model",['A helical jet of the blazar S5 0716+71']
On the Almost Everywhere Stability of Discrete-Time Dynamical Systems,['Almost everywhere stability for invariant sets via Lyapunov density functions']
"Gone with the Wind: Nonlinear Guidance for Small Fixed-Wing Aircrafts in
  Arbitrarily Strong Windfields",['Guidance of Unmanned Aerial Vehicles in Strong Winds']
"Globally Lipschitz minimizers for variational problems with linear
  growth",['Minimization of variational integrals with prescribed boundary values']
"Asymptotic homogenization of hygro-thermo-mechanical properties of
  fibrous networks",['Hygro-thermo-expansive properties of anisotropic fibrous networks: role of the inter-fibre bonds']
"Hygro-mechanical properties of paper fibrous networks through asymptotic
  homogenization and comparison with idealized models",['Multi-scale modelling of paper hygro-mechanical properties']
"Cooperative Parallel Particle Filters for online model selection and
  applications to Urban Mobility",['A sequential Monte Carlo scheme for Bayesian inference and model selection applied to urban mobility']
Biunitary constructions in quantum information,['New constructions of unitary error bases and Hadamard matrices']
"The Bekenstein-Hawking Corpuscular Cascading from the Backreacted Black
  Hole",['Bekenstein-Hawking Particle Emission from Backreacted Black Holes']
"Pseudo-binomial Approximation to $(k_1, k_2)$-runs","[""Approximation of $k_1,k_2$-runs by Stein's method""]"
"Testing MOG, Non-Local Gravity and MOND with rotation curves of dwarf
  galaxies","['Rotation curves of LITTLE THINGS dwarf galaxies in MOG, Non-Local Gravity and MODified Newtonian Dynamics']"
"On the Solution of Large-Scale Robust Transmission Network Expansion
  Planning under Uncertain Demand and Generation Capacity",['Column-and-Constraint Generation via Coordinate Descent']
Topology optimized permanent magnet systems,['Topology Optimization of Permanent Magnet Systems']
"Supersymmetric $U(1)_{Y^{\prime}}\otimes U(1)_{B-L}$ extension of the
  standard model",['A supersymmetric $SU(3)_Cotimes SU(2)_Lotimes U(1)_Yprimeotimes U(1)_B-L$ model']
"The Abundance of Atmospheric CO2 in Ocean Exoplanets: A Novel CO2
  Deposition Mechanism",['Atmospheric CO2 fluxes from ocean-atmosphere interactions on water ice polymorph planets']
"Complexity Leads to Simplicity: A Consensus Layer V Pyramidal Neuron Can
  Sustain Interpulse-Interval Coding",['The Feasibility of Interpulse Interval Coding in the Pyramidal Neuron']
To Infinity and Beyond: Some ODE and PDE Case Studies,['Beyond Infinity via Locally Detectable Singular Transformations']
Multi-label Methods for Prediction with Sequential Data,['Multi-label Methods for Prediction in Sequential Data']
Time resolved heat exchange in driven quantum systems,['Non-adiabatic dynamic heat current in periodically forced quantum capacitors']
"TeV- and MeV-physics out of an $SU_{L}(2)\times U_{R}(1)_{J} \times
  U(1)_{K}$ model",['New Particle Physics Scenarios from an $SU_L(2) times U_R(1)_J times U(1)_K$-Symmetry']
Sharp commutator estimates via harmonic extensions,['Commutator estimates via integration by parts and trace spaces']
"The two-dimensional Coulomb plasma: quasi-free approximation and central
  limit theorem",['Central limit theorem for the Coulomb plasma in two dimensions']
Optical Levitation of Nanodiamonds by Doughnut Beams in Vacuum,['Doughnut-shaped laser beams for spin-optomechanical system based on levitated diamonds']
Independent Lazy Better-Response Dynamics on Network Games,['Independent best-response dynamics on network games']
"Existence and space-time regularity for stochastic heat equations on
  p.c.f. fractals",['Linear stochastic heat equations on p.c.f.S. sets']
A stylized model for wealth distribution,['A Random Exchange Model for Wealth Distribution']
Local Kesten--McKay law for random regular graphs,['The Kesten--McKay Law for Random Regular Graphs']
"k-rAC - a Fine-Grained k-Resilient Access Control Scheme for Distributed
  Hash Tables",['K-rAC: An Authentication and Resilient Fine-grained AC for Distributed Hash Tables']
"Upper Bound for Diameter of Cosmological Black Holes and Nonexistence of
  Black Strings",['Black strings cannot be formed in the universe with a positive cosmological constant']
Parametric Landau damping of space charge modes,['Parametric Landau Damping of Coherent Modes']
Relativistic quantum clocks,['Quantum Relativity and Time']
"Hierarchical Multistage Gaussian Signaling Games in Noncooperative
  Communication and Control Systems",['Hierarchical Optimal Linear Signaling Games in Noncooperative Communication Contexts']
Covert Attacks in Cyber-Physical Control Systems,['Covert Attacks on Cyber-Physical Systems']
High energy properties of the flat spectrum radio quasar 4C 50.11,['Gamma-ray and X-ray Properties of Flat Spectrum Radio Quasar 4c50 at Redshift 1.517']
The value of timing information in event-triggered control,['Event-triggered Control of Linear Plants with Bounded Delay']
May axion clusters be sources of fast radio bursts?,['Importance of three observational criteria for the explanation of fast radio bursts']
"Strong factorization property of Macdonald polynomials and higher-order
  Macdonald's positivity conjecture",['Macdonald polynomials have strong factorization property when $q$ is $1$']
"Martingale representation in progressive enlargement by the reference
  filtration of a semimartingale: a note on the multidimensional case",['Martingale representation under the probability measure for the union of a semimartingale and its progressive enlargement']
Locally Compact Stone Duality,['Poset dualities in locally compact spaces']
Infinite-dimensional input-to-state stability and Orlicz spaces,['Integral and non-integral input-to-state stability for linear infinite-dimensional systems']
Regular and almost universal hashing: an efficient implementation,['PM+: Non-Cryptographic Hash Functions for Adversarial Computing']
"Ambiguous Chance-Constrained Binary Programs under Mean-Covariance
  Information",['Distributionally Robust Chance-Constrained Binary Programs']
Minimal Inputs/Outputs for a Networked System,['On the Minimal Number of Inputs/Outputs Required to Guarantee System Controllability/Observability']
"Effect heterogeneity and variable selection for standardizing causal
  effects to a target population",['Homogeneity Conditions in Causal Inference']
"The choice of effect measure for binary outcomes: Introducing
  counterfactual outcome state transition parameters",['A Causal Model Approach to Choice of Effect Measures']
"Square-root algorithms for maximum correntropy estimation of linear
  discrete-time systems in presence of non-Gaussian noise",['Numerical stability analysis of maximum correntropy filter Kalman filter']
Sparsity-driven weighted ensemble classifier,['Sparsity-Driven Weighted Ensemble Classifier']
"Ubiquitous diffraction resonances in positronium formation from
  fullerenes",['Universal diffraction effect in positronium formation from fullerenes']
Near-Infrared Coloring via a Contrast-Preserving Mapping Model,['Near-Infrared Coloring Based on a Contrast-Preserving Mapping Model']
"Rain Removal via Shrinkage-Based Sparse Coding and Learned Rain
  Dictionary",['Rain Removal by Shrinkage-based Sparse Coding']
"Theory of Exceptional Points of Degeneracy in Uniform Coupled-Waveguides
  and Balance of Gain and Loss",['Theory of Exceptional Points of Degeneracy in Coupled Waveguide Structures']
"Energy Efficient Restoring of Barrier Coverage in Wireless Sensor
  Networks Using Limited Mobility Sensors",['Restoring Barrier Coverage in Wireless Sensor Networks Using Cascaded Method']
"One-Trial Correction of Legacy AI Systems and Stochastic Separation
  Theorems",['Cascade Tuning of AI Legacy Systems']
Transport of measures on networks,['Measure-valued linear transport equations on networks']
"Extrapolation-Based Implicit-Explicit Peer Methods with Optimised
  Stability Regions",['A class of implicit-explicit Peer methods based on extrapolation methods']
"Mean exit time and escape probability for the anomalous processes with
  the tempered power-law waiting times","[""Mean first exit time and escape probability for anomalous processes with the tempered L'evy stable waiting times""]"
On Delta Graphs and Delta Conjecture,['A note on delta conjecture']
Demand Dispatch with Heterogeneous Intelligent Loads,['Distributed Power-State Autoencoders']
"Second Minimal Orbits, Sharkovski Ordering and Universality in Chaos",['Second Minimal Orbits and Universal Pattern Dynamics of Periodic Window in One Parameter Family of Unimodal Maps']
"Fluctuation signatures of rotation reversals and non-local transport
  events in KSTAR L-mode plasmas",['Density fluctuation and macro phenomena in electron cyclotron resonance heating power scan in KSTAR tokamak']
Potential theory of subordinate killed Brownian motion,['Potential theory for subordinate killed Brownian motion']
Primary decomposition and normality of certain determinantal ideals,['Primality and primary decomposition of certain determinantal ideals']
Sharpe portfolio using a cross-efficiency evaluation,['Sharpe Ratio Portfolio']
"Exponential utility maximization under model uncertainty for unbounded
  endowments",['Robust Exponential Utility Maximization in Discrete Time']
Reasoning about identifier spaces: How to make Chord correct,['Two Independent Proofs of the Proved Correctness of the Chord Distributed Hashing Table']
Quantum-Secure Symmetric-Key Cryptography Based on Hidden Shifts,['Quantum-Secure Symmetric-Key Cryptography via the Hidden Shift Problem']
On the Cycle Space of a Random Graph,['On the span of the $kappa$-cycle space of random graphs']
Improved Bounds on Sidon Sets via Lattice Packings of Simplices,['Sidon sets in Abelian groups']
The Generalized Slices of Hermitian K-Theory,['Generalized slices of the motivic spectrum KO and their homotopy sheaves']
"A Fast Gradient Method for Nonnegative Sparse Regression with Self
  Dictionary",['Fast Nonnegative Sparse Regression with Self Dictionary']
"Improved Lower Bound on DHP: Towards the Equivalence of DHP and DLP for
  Important Elliptic Curves Used for Implementation",['Improved Lower Bounds on Diffie-Hellman Problem via Multiplicative Groups']
Spectral triples on $O_N$,['Odd $K$-homology and $theta$-summable spectral triples on the Cuntz algebra']
Self-Dual Gravity,['Quantum finiteness in self-dual gravity']
"Bounding the order of a graph using its diameter and metric dimension: a
  study through tree decompositions and VC dimension",['Metric dimension of graphs']
"Finite-dimensional colored fluctuation-dissipation theorem for spin
  systems",['Fluctuation-dissipation theorem for non-Markovian nano-magnets coupled to random sources']
"Compensated Compactness in Banach Spaces and Weak Rigidity of Isometric
  Immersions of Manifolds",['A compensated compactness theorem in Banach spaces and applications to the weak rigidity of the Gauss-Codazzi-Ricci equations']
Coloring decompositions of complete geometric graphs,['Coloring Decompositions of the Complete Geometric Graph']
On the norm of a random jointly exchangeable matrix,['Norm of Random Jointly Exchangeable Matrices and the Second Largest Singular Value']
"Discrete $p$-robust $\mathbf{H}(\mathrm{div})$-liftings and a posteriori
  estimates for elliptic problems with $H^{-1}$ source terms",['Robust liftings of piecewise polynomial data on locally refined simplicial partitions']
"Guaranteed, locally space-time efficient, and polynomial-degree robust a
  posteriori error estimates for high-order discretizations of parabolic
  problems",['A Posteriori Error Analysis of High-Order Galerkin Methods']
A mechanical erosion model for two-phase mass flows,"['A Novel Two-Phase, Process-Based Model for Erosion, Entrainment and Deposition']"
Distance rationalization of anonymous and homogeneous voting rules,['Distance rationalization of anonymous and homogeneous voting rules']
"Mapping the Microscale Origins of MRI Contrast with Subcellular NV
  Diamond Magnetometry",['Connecting subcellular magnetic fields and MRI contrast in mammalian cells and tissues']
"K\""ahler manifolds with negative holomorphic sectional curvature,
  K\""ahler-Ricci flow approach","['Negativity of sectional curvature and K""ahler-Ricci flow']"
"Minority Games With Applications to Distributed Decision Making and
  Control in Wireless Networks",['Minority Games for Distributed Decision Making in Wireless Networks']
"A Baseline for Detecting Misclassified and Out-of-Distribution Examples
  in Neural Networks",['Using Softmax Probabilities for Detection of Misclassified and Out-of-Distribution Examples']
Operations on categories of modules are given by Schur functors,['Schur functors associated to symmetric groups']
Minimal Inputs/Outputs for Subsystems in a Networked System,['Minimal Inputs/Outputs for Subsystems in a Networked System']
Curves and envelopes that bound the spectrum of a matrix,['Finding inequalities for the eigenvalues of a complex matrix using the largest eigenvalues of its Hermitian part']
Filtered K-theory for graph algebras,['Filtered algebraic K-theory and gauge invariant filtered K-theory']
"Gibbsian On-Line Distributed Content Caching Strategy for Cellular
  Networks",['Gibbs Sampling Based Content Placement in Cellular Networks']
Energy-efficient Delivery by Heterogeneous Mobile Agents,['The Benefit of Collaboration and Coordination for Energy-Efficient Delivery by Heterogeneous Mobile Agents']
Radiative shocks create environments for dust formation in novae,['The Formation of Dust Grains in Novae during Radiative Shocks']
Non-parametric Morphologies of Mergers in the Illustris Simulation,['The Illustris Project: Non-parametric Morphologies of Galaxy Mergers']
"High Quality Stepped-Impedance Resonators Suitable for Circuit-QED
  Measurement of Superconducting Artificial Atoms","['Design, fabrication and measurement of step-impedance resonators for factor coplanar superconducting quantum circuits']"
Location-Aided Pilot Contamination Avoidance for Massive MIMO Systems,['Location-Based Pilot Avoidance for Massive MIMO']
Diabolical entropy,['On the monotonicity of the topological entropy for the real quadratic family']
"Perspectives on the mathematics of biological patterning and
  morphogenesis",['Mathematical equations for patterning and morphogenesis in developmental biology']
Modeling of Spatial Uncertainties in the Magnetic Reluctivity,['Stochastic modeling of an inhomogeneous reluctivity of magnetic materials for electrical machines']
"Phase diagram for the O(n) model with defects of ""random local field""
  type and verity of the Imry-Ma theorem",['Defect-induced long-range order state in the O(n) model']
"Large fluctuations and growth rates of linear Volterra summation
  equations",['Growth bounds and fluctuations for linear Volterra summation equations']
"Determining the value of the fine-structure constant from a current
  balance: getting acquainted with some upcoming changes to the SI",['Implications of a revised International System of Units for Physics Education']
Two-particle interferometry in quantum Hall edge channels,['Intensity-intensity correlations in quantum Hall channels']
Biased random walk on the interlacement set,['Biased random walk on an interlacement set has a zero limiting speed']
Linear Hypothesis Testing in Dense High-Dimensional Linear Models,['Linear Hypothesis Testing in High-Dimensional Linear Models via Restructured Regression']
Dependent Defaults and Losses with Factor Copula Models,['Factor Copula Models for Exact and Efficient Loss Calculations']
"Pinned algebraic distances determined by Cartesian products in
  $\mathbb{F}_p^2$",['Pinched algebraic distances over finite fields']
"Numerical computation of triangular cavity flows by a Lagrange-Galerkin
  scheme with a locally linearized velocity",['Lagrange-Galerkin method for triangular cavity flow problems']
"Pressure-robust analysis of divergence-free and conforming FEM for
  evolutionary incompressible Navier-Stokes flows",['Error estimates for the Navier-Stokes equations in a semi-discrete formulation']
"From Kinetic Theory of Multicellular Systems to Hyperbolic Tissue
  Equations: Asymptotic Limits and Computing",['Asymptotic-preserving well-balanced schemes for a class of macroscopic equations']
Oscillating heat kernels on ultrametric spaces,['Heat kernels on ultrametric spaces with transitive groups of isometries']
"On time dependent Schr{\""o}dinger equations: global well-posedness and
  growth of Sobolev norms","['Well-posedness and polynomial growth for time dependent Schr""odinger PDEs']"
DOTmark - A Benchmark for Discrete Optimal Transport,['DOTmark: A Benchmark for Discrete Optimal Transport']
On the Abundance Problem for $3$-folds in characteristic $p>5$,['On the abundance conjecture for $3$-folds in characteristic $p>5$']
Finite atomic lattices and their monomial ideals,['Weak coordinatizations and super-atomic lattices of monomial ideals']
Quantum authentication with key recycling,['Quantum Authentication with Key Recycled']
"Enriched TeO$_2$ bolometers with active particle discrimination: towards
  the CUPID experiment",['Performances of $130$TeO$_2$ crystals with a next generation neutrinoless double beta decay experiment']
A mechanical model for phase-separation in debris flow,['Phase-separation and levee formation in multi-phase debris flows']
Image Based Camera Localization: an Overview,['Image Based Camera Localization: An Overview']
"High Dimensional Uncertainty Quantification for an Electrothermal Field
  Problem using Stochastic Collocation on Sparse Grids and Tensor Train
  Decompositions",['Uncertainty Quantification Methods on Sparse Grids and Tensor Trains for Study of Bondwire Failures']
"Statistical test for detecting community structure in real-valued
  edge-weighted graphs",['Wigner Semicircular Law for Community Testing of Edge-weighted Graphs']
Unorganized Malicious Attacks Detection,['Unorganized Malicious Attacks Detection in Recommender Systems']
"Monte Carlo Simulations of Spin Transport in a Strained Nanoscale InGaAs
  Field Effect Transistor",['Monte Carlo Simulation of Spin Field Effect Transistors under External Voltages']
Simultaneous Credible Regions for Multiple Changepoint Locations,['Simultaneous Credible Regions for Bayesian Inference of Continuous Variables']
Quantum non-malleability and authentication,['Quantum non-malleability and authentication']
Basic Kirwan Surjectivity for K-Contact Manifolds,['Basic Kirwan surjectivity for $S1$-quotients']
"Numerical approximation of stochastic evolution equations: Convergence
  in scale of Hilbert spaces",['Numerical approximation of stochastic evolution equations']
"The proximal augmented Lagrangian method for nonsmooth composite
  optimization",['Primal-Descent Dual-Ascent Gradient Method for Convex Regularization Problems']
